id,tipo_doc,titulo,autor,anio,nombre_revista_compilacion,url,editorial_institucion,lugar,temas,img,file_img
73,bookSection,Perfiles digitales: la nueva configuración del internauta,"Villarroel, Guillermo",2018,EstadoTIC. Estado de las Tecnologías de Información y Comunicación en el Estado Plurinacional de Bolivia,https://drive.google.com/file/d/1fVyR__tdwU77CnKsSC1qDOjWKObd6U9R/view,,,"acceso,perfiles de acceso",https://labtecnosocial.org/explora-bib/digital/villarroel2018.png,villarroel2018.png
74,book,La vida política del meme: Interacciones en Facebook en una coyuntura crítica,"Zegada, María Teresa; Guardia, Marcelo; Ojeda, Alex",2018,,https://www.academia.edu/37950387/La_vida_pol%C3%ADtica_del_meme_Interacciones_digitales_en_Facebook_en_una_coyuntura_cr%C3%ADtica,CERES / Plural,La Paz,"sociedad civil,memes",https://labtecnosocial.org/explora-bib/digital/zegada2018.png,zegada2018.png
75,book,Juventudes TIC. Estudio sobre las TIC en adolescentes y jóvenes en Bolivia,AGETIC; UNFPA,2019,,https://formaciontecnicabolivia.org/sites/default/files/publicaciones/libro_juventudes_tic.pdf,,La Paz,"sociedad civil,juventud",https://labtecnosocial.org/explora-bib/digital/agetic2019.png,agetic2019.png
76,book,Mapeo de actores de sociedad civil relacionados a datos abiertos en Bolivia,"Calizaya, Esteban; Ojeda, Alex",2019,,https://www.academia.edu/42196866/Mapeo_de_actores_de_sociedad_civil_relacionados_a_datos_abiertos_en_Bolivia,Hivos,La Paz,datos abiertos,https://labtecnosocial.org/explora-bib/digital/calizayaojeda2019.png,calizayaojeda2019.png
77,conferencePaper,Los fenómenos sociodigitales como campo de investigación en Bolivia,"Ojeda, Alex",2019,Memoria del Encuentro de Investigadores,https://www.academia.edu/41578863/Los_fen%C3%B3menos_sociodigitales_como_campo_de_investigaci%C3%B3n_en_Bolivia,INCISO-DICyT,Cochabamba,"digitalización,teoría",https://labtecnosocial.org/explora-bib/digital/ojeda2019a.png,ojeda2019a.png
78,report,Economía digital en Bolivia,"Foronda, Adriana; Miranda, Hugo",2020,,http://library.fes.de/pdf-files/bueros/bolivien/16240.pdf,FES,,economía,https://labtecnosocial.org/explora-bib/digital/foronda2020.png,foronda2020.png
79,book,"Movimientos ciudadanos en red. Acción colectiva, redes sociales digitales y ciudadanismo en Bolivia (2010-2017)","Ojeda, Alex",2020,,https://www.academia.edu/45216588/Movimientos_ciudadanos_en_red_Acci%C3%B3n_colectiva_redes_sociales_digitales_y_ciudadanismo_en_Bolivia_2010_2017_,"DICyT-UMSS, PUICS",Cochabamba,movimientos,https://labtecnosocial.org/explora-bib/digital/ojeda2020b.png,ojeda2020b.png
80,bookSection,Cámaras de eco y desinformación: Efectos amplificadores de las redes digitales en la polarización social de 2019,"Ojeda, Alex",2020,Crisis y cambio político en Bolivia. Octubre y noviembre de 2019: La democracia en encrucijada,https://www.academia.edu/43375297/C%C3%A1maras_de_eco_y_desinformaci%C3%B3n_Efectos_amplificadores_de_las_redes_digitales_en_la_polarizaci%C3%B3n_social_de_2019,"CESU, OXFAM",La Paz,"sociedad civil,desinformación,polarización",https://labtecnosocial.org/explora-bib/digital/ojeda2020a.png,ojeda2020a.png
81,journalArticle,Convergencia entre desinformación política y social en el conflicto electoral de 2019 en Bolivia,"Ojeda, Alex; Peredo, Valeria",2020,Temas Sociales,https://www.academia.edu/43375277/Convergencia_entre_desinformaci%C3%B3n_pol%C3%ADtica_y_social_en_el_conflicto_electoral_de_2019_en_Bolivia,,,"sociedad civil,desinformación",https://labtecnosocial.org/explora-bib/digital/ojedaperedo2020.png,ojedaperedo2020.png
82,journalArticle,Mapeo del Ecosistema de Tecnología Digital en Bolivia 2020,"Sahonero, Rolando; Coloma, Viviana; Aceleradora, SOLYDES; Sánchez, Fernando; Silva, Allisón; Silva, René",2020,,https://mapeoticbolivia.org/mapeo-2020,,,"economía,digitalización",https://labtecnosocial.org/explora-bib/digital/sahonero2020.png,sahonero2020.png
83,book,Municipios digitales. Diagnóstico de acceso y datos personales en 6 entidades territoriales autónomas,"Jordán, Wilfredo",2021,,https://internetbolivia.org/file/2021/11/ib_municipios.pdf,,La Paz,"acceso,política",https://labtecnosocial.org/explora-bib/digital/jordan2021.png,jordan2021.png
84,book,Una década de sociología digital en Bolivia (2011-2021),"Ojeda, Alex",2021,,https://www.academia.edu/66630933/Una_d%C3%A9cada_de_sociolog%C3%ADa_digital_en_Bolivia_2011_2021_,PROEIB Andes - UMSS,Cochabamba,digitalización,https://labtecnosocial.org/explora-bib/digital/ojeda2021.png,ojeda2021.png
85,bookSection,"Internet, redes sociales y derechos digitales","Quiroz, Eliana",2021,La democracia en Bolivia hoy. Situación y perspectivas,https://www.academia.edu/76706578/Internet_redes_sociales_y_derechos_digitales,Instituto PRISMA; Plural,La Paz,"política,derechos digitales",https://labtecnosocial.org/explora-bib/digital/quiroz2021.png,quiroz2021.png
86,book,Mujeres libres en política – Guía para combatir el acoso y la violencia política digital (AVP),"Saravia, Cielito",2021,,https://internetbolivia.org/file/2022/02/guia_mujeres_libres.pdf,OEP,La Paz,"sociedad civil,género,violencia digital",https://labtecnosocial.org/explora-bib/digital/saravia2021.png,saravia2021.png
87,book,Trancisión digital,"Souverein, Jan; Jordán, Nicole",2021,,http://library.fes.de/pdf-files/bueros/bolivien/18237.pdf,FES,La Paz,digitalización,https://labtecnosocial.org/explora-bib/digital/souverein2021.png,souverein2021.png
